paper,Tool,Bug,correct,incorrect,unknown,total
submission,TBar,Closure-62,1,4,0,5
submission,TBar,Closure-86,1,0,0,1
submission,TBar,Lang-33,1,2,0,3
submission,TBar,Lang-57,2,0,0,2
submission,TBar,Lang-59,1,0,0,1
submission,TBar,Math-11,3,0,0,3
submission,TBar,Math-30,2,5,0,7
submission,TBar,Math-34,1,0,0,1
submission,TBar,Math-5,2,0,0,2
submission,TBar,Math-58,1,0,0,1
submission,TBar,Math-65,1,0,0,1
submission,TBar,Math-70,1,0,0,1
submission,TBar,Math-75,1,0,0,1
submission,TBar,Math-80,1,20,0,21
submission,TBar,Math-85,2,39,0,41
submission,TBar,Math-89,1,0,0,1
submission,TBar,Mockito-29,1,3,0,4
submission,TBar,Mockito-38,3,0,0,3
submission,dynamoth,Closure-126,2,1,0,3
submission,dynamoth,Lang-55,5,5,0,10
submission,jGenProg,Closure-126,1,1,0,2
submission,jGenProg,Closure-46,1,2,0,3
submission,jGenProg,Math-70,1,1,0,2
submission,jKali,Closure-126,2,5,0,7
submission,jKali,Closure-46,1,5,0,6
submission,jMutRepair,Chart-1,2,0,0,2
submission,jMutRepair,Closure-62,1,1,0,2
submission,jMutRepair,Math-82,1,1,0,2
submission,jMutRepair,Math-85,1,2,0,3
submission,kPAR,Chart-1,1,3,0,4
submission,kPAR,Lang-59,1,2,0,3
submission,kPAR,Math-50,9,36,0,45
submission,kPAR,Math-89,1,0,0,1
submission,kPAR,Time-7,1,0,0,1
submission,Avatar,Chart-25,0,5,18,23
submission,Avatar,Chart-7,0,8,0,8
submission,Avatar,Closure-126,0,2,0,2
submission,Avatar,Closure-21,0,1,1,2
submission,Avatar,Lang-44,0,1,4,5
submission,Avatar,Lang-51,0,1,0,1
submission,Avatar,Lang-58,0,5,0,5
submission,Avatar,Math-49,0,1,2,3
submission,Avatar,Math-50,0,7,0,7
submission,Avatar,Math-62,0,1,1,2
submission,Avatar,Math-80,0,2,0,2
submission,FixMiner,Chart-13,0,1,35,36
submission,FixMiner,Chart-15,0,1,1,2
submission,FixMiner,Lang-58,0,4,0,4
submission,FixMiner,Math-50,0,1,0,1
submission,FixMiner,Math-63,0,2,28,30
submission,FixMiner,Math-85,0,1,0,1
submission,Nopol,Chart-13,0,1,4,5
submission,Nopol,Chart-17,0,1,2,3
submission,Nopol,Chart-25,0,1,12,13
submission,Nopol,Chart-26,0,1,7,8
submission,Nopol,Chart-5,0,1,0,1
submission,Nopol,Chart-9,0,10,0,10
submission,Nopol,Closure-126,0,4,0,4
submission,Nopol,Closure-21,0,1,2,3
submission,Nopol,Closure-62,0,1,0,1
submission,Nopol,Lang-46,0,1,0,1
submission,Nopol,Lang-51,0,2,0,2
submission,Nopol,Lang-55,0,1,0,1
submission,Nopol,Lang-58,0,2,0,2
submission,Nopol,Math-105,0,1,2,3
submission,Nopol,Math-2,0,1,4,5
submission,Nopol,Math-20,0,1,0,1
submission,Nopol,Math-33,0,4,0,4
submission,Nopol,Math-41,0,1,0,1
submission,Nopol,Math-42,0,1,9,10
submission,Nopol,Math-49,0,2,2,4
submission,Nopol,Math-50,0,6,0,6
submission,Nopol,Math-58,0,2,0,2
submission,Nopol,Math-69,0,1,3,4
submission,Nopol,Math-7,0,1,6,7
submission,Nopol,Math-80,0,2,0,2
submission,Nopol,Math-81,0,2,1,3
submission,Nopol,Math-85,0,1,0,1
submission,Nopol,Time-7,0,4,0,4
submission,SimFix,Chart-12,0,1,7,8
submission,SimFix,Chart-18,0,1,0,1
submission,SimFix,Closure-115,0,1,3,4
submission,SimFix,Math-50,0,6,0,6
submission,SimFix,Math-6,0,1,0,1
submission,SimFix,Math-63,0,1,0,1
submission,SimFix,Math-73,0,1,2,3
submission,SimFix,Math-8,0,1,1,2
submission,SimFix,Math-85,0,2,0,2
submission,TBar,Chart-13,0,2,35,37
submission,TBar,Chart-15,0,1,0,1
submission,TBar,Chart-25,0,1,0,1
submission,TBar,Chart-7,0,10,0,10
submission,TBar,Closure-126,0,3,0,3
submission,TBar,Closure-22,0,1,11,12
submission,TBar,Lang-43,0,1,0,1
submission,TBar,Lang-44,0,2,12,14
submission,TBar,Lang-45,0,1,0,1
submission,TBar,Lang-51,0,3,6,9
submission,TBar,Lang-58,0,14,0,14
submission,TBar,Math-15,0,1,0,1
submission,TBar,Math-2,0,1,0,1
submission,TBar,Math-28,0,2,66,68
submission,TBar,Math-50,0,8,0,8
submission,TBar,Math-6,0,1,0,1
submission,TBar,Math-62,0,1,15,16
submission,TBar,Math-63,0,1,0,1
submission,TBar,Math-79,0,2,0,2
submission,TBar,Math-8,0,3,2,5
submission,TBar,Math-95,0,2,5,7
submission,TBar,Math-96,0,1,0,1
submission,TBar,Time-11,0,1,0,1
submission,dynamoth,Chart-1,0,3,0,3
submission,dynamoth,Chart-25,0,2,21,23
submission,dynamoth,Chart-5,0,1,0,1
submission,dynamoth,Closure-129,0,1,0,1
submission,dynamoth,Closure-19,0,1,0,1
submission,dynamoth,Closure-21,0,1,2,3
submission,dynamoth,Closure-46,0,2,0,2
submission,dynamoth,Closure-48,0,1,0,1
submission,dynamoth,Closure-62,0,1,0,1
submission,dynamoth,Lang-51,0,2,0,2
submission,dynamoth,Math-101,0,1,4,5
submission,dynamoth,Math-2,0,1,3,4
submission,dynamoth,Math-28,0,1,18,19
submission,dynamoth,Math-32,0,1,0,1
submission,dynamoth,Math-33,0,20,0,20
submission,dynamoth,Math-41,0,3,176,179
