Tool,1,2,3,4,5,20,21,36,37
TBar,27,29,29,29,30,31,32,32,32
SimFix,19,19,19,19,19,19,19,19,19
jMutRepair,3,3,4,4,4,4,4,4,4
Avatar,12,14,14,14,14,15,15,15,15
kPAR,4,4,4,4,4,4,5,5,5
FixMiner,9,10,10,10,10,10,10,10,10
jGenProg,2,2,2,2,2,2,2,2,3
dynamoth,2,2,2,2,2,2,2,2,2
jKali,1,1,1,1,2,2,2,2,2
