paper,Tool,Bug,correct,incorrect,unknown,total
submission,Nopol,Time-7,0,4,0,4
submission,SimFix,Math-50,0,6,0,6
submission,SimFix,Math-85,0,2,0,2
submission,TBar,Chart-7,0,10,0,10
submission,TBar,Closure-126,0,3,0,3
submission,TBar,Lang-43,0,1,0,1
submission,TBar,Lang-58,0,14,0,14
submission,TBar,Math-50,0,8,0,8
submission,TBar,Math-79,0,2,0,2
submission,dynamoth,Chart-1,0,3,0,3
submission,dynamoth,Closure-46,0,2,0,2
submission,dynamoth,Closure-62,0,1,0,1
submission,dynamoth,Math-33,0,20,0,20
submission,dynamoth,Math-58,0,15,0,15
submission,jGenProg,Chart-1,0,1,0,1
submission,jGenProg,Chart-7,0,5,0,5
submission,jGenProg,Lang-43,0,1,0,1
submission,jGenProg,Lang-59,0,23,0,23
submission,jGenProg,Math-50,0,8,0,8
submission,jGenProg,Math-53,0,2,0,2
submission,jGenProg,Math-80,0,6,0,6
submission,jGenProg,Math-82,0,4,0,4
submission,jGenProg,Math-85,0,3,0,3
submission,jKali,Closure-62,0,1,0,1
submission,jKali,Lang-55,0,2,0,2
submission,jKali,Math-80,0,14,0,14
submission,jMutRepair,Chart-7,0,1,0,1
submission,jMutRepair,Lang-58,0,2,0,2
submission,jMutRepair,Math-50,0,1,0,1
submission,jMutRepair,Math-57,0,1,0,1
submission,jMutRepair,Math-58,0,1,0,1
submission,jMutRepair,Math-80,0,2,0,2
submission,kPAR,Chart-7,0,6,0,6
submission,kPAR,Lang-57,0,1,0,1
submission,kPAR,Lang-58,0,27,0,27
submission,kPAR,Math-33,0,12,0,12
