paper,Bug,correct,incorrect,unknown,total
submission,Chart-1,5,19,0,24
submission,Chart-11,1,0,0,1
submission,Chart-20,2,0,0,2
submission,Chart-24,1,0,0,1
submission,Chart-4,3,1,0,4
submission,Chart-7,1,18,0,19
submission,Chart-8,1,0,0,1
submission,Chart-9,1,10,0,11
submission,Closure-126,4,14,0,18
submission,Closure-14,1,0,0,1
submission,Closure-2,1,2,0,3
submission,Closure-46,3,9,0,12
submission,Closure-57,2,2,0,4
submission,Closure-62,4,11,0,15
submission,Closure-73,2,0,0,2
submission,Closure-86,1,0,0,1
submission,Lang-10,3,7,0,10
submission,Lang-33,3,2,0,5
submission,Lang-43,2,2,0,4
submission,Lang-55,5,8,0,13
submission,Lang-57,3,3,0,6
submission,Lang-58,1,42,0,43
submission,Lang-59,1,25,0,26
submission,Lang-6,1,0,0,1
submission,Math-11,3,0,0,3
submission,Math-30,2,5,0,7
submission,Math-33,3,97,0,100
submission,Math-34,1,0,0,1
submission,Math-5,3,0,0,3
submission,Math-50,9,60,0,69
submission,Math-53,1,2,0,3
submission,Math-57,2,2,0,4
submission,Math-58,1,17,0,18
submission,Math-59,2,0,0,2
submission,Math-65,1,0,0,1
submission,Math-70,3,3,0,6
submission,Math-75,2,0,0,2
submission,Math-79,1,3,0,4
submission,Math-80,1,38,0,39
submission,Math-82,2,17,0,19
submission,Math-85,3,47,0,50
submission,Math-89,1,0,0,1
submission,Mockito-29,1,3,0,4
submission,Mockito-38,3,0,0,3
submission,Time-7,2,4,0,6
submission,Chart-12,0,1,8,9
submission,Chart-13,0,4,113,117
submission,Chart-15,0,3,87,90
submission,Chart-17,0,1,22,23
submission,Chart-18,0,1,0,1
submission,Chart-25,0,10,132,142
submission,Chart-26,0,4,158,162
submission,Chart-5,0,3,10,13
submission,Closure-10,0,1,3,4
submission,Closure-115,0,1,7,8
submission,Closure-129,0,2,2,4
submission,Closure-13,0,1,2,3
submission,Closure-19,0,1,0,1
submission,Closure-21,0,4,27,31
submission,Closure-22,0,2,35,37
submission,Closure-48,0,1,0,1
submission,Lang-44,0,2,31,33
submission,Lang-45,0,1,3,4
submission,Lang-46,0,1,0,1
submission,Lang-51,0,8,60,68
submission,Lang-63,0,3,34,37
submission,Math-101,0,1,4,5
submission,Math-105,0,1,2,3
submission,Math-15,0,1,0,1
submission,Math-2,0,3,7,10
submission,Math-20,0,1,13,14
submission,Math-28,0,9,232,241
submission,Math-32,0,2,1,3
submission,Math-41,0,3,176,179
submission,Math-42,0,1,9,10
submission,Math-49,0,4,8,12
submission,Math-6,0,2,1,3
submission,Math-62,0,2,15,17
submission,Math-63,0,3,28,31
submission,Math-64,0,1,2,3
submission,Math-69,0,1,3,4
submission,Math-7,0,1,6,7
submission,Math-71,0,1,5,6
submission,Math-73,0,2,13,15
submission,Math-8,0,4,3,7
submission,Math-81,0,7,144,151
submission,Math-84,0,2,5,7
submission,Math-88,0,2,4,6
submission,Math-95,0,4,26,30
submission,Math-96,0,1,0,1
submission,Math-97,0,1,9,10
submission,Time-11,0,1,15,16
submission,Chart-19,0,0,4,4
submission,Chart-21,0,0,2,2
submission,Chart-22,0,0,5,5
submission,Chart-3,0,0,51,51
submission,Closure-1,0,0,1,1
submission,Closure-106,0,0,2,2
submission,Closure-109,0,0,9,9
submission,Closure-114,0,0,2,2
submission,Closure-116,0,0,1,1
submission,Closure-120,0,0,3,3
submission,Closure-121,0,0,3,3
submission,Closure-125,0,0,3,3
submission,Closure-127,0,0,1,1
submission,Closure-130,0,0,22,22
submission,Closure-131,0,0,2,2
submission,Closure-132,0,0,1,1
submission,Closure-16,0,0,1,1
submission,Closure-17,0,0,1,1
submission,Closure-18,0,0,1,1
submission,Closure-20,0,0,1,1
submission,Closure-26,0,0,2,2
submission,Closure-28,0,0,8,8
submission,Closure-29,0,0,1,1
submission,Closure-30,0,0,1,1
submission,Closure-36,0,0,5,5
submission,Closure-38,0,0,3,3
submission,Closure-45,0,0,1,1
submission,Closure-49,0,0,2,2
submission,Closure-5,0,0,1,1
submission,Closure-50,0,0,1,1
submission,Closure-59,0,0,2,2
submission,Closure-60,0,0,1,1
submission,Closure-61,0,0,1,1
submission,Closure-66,0,0,3,3
submission,Closure-67,0,0,1,1
submission,Closure-68,0,0,1,1
submission,Closure-72,0,0,2,2
submission,Closure-75,0,0,11,11
submission,Closure-76,0,0,1,1
submission,Closure-79,0,0,1,1
submission,Closure-8,0,0,2,2
submission,Lang-22,0,0,2,2
submission,Lang-41,0,0,1,1
submission,Lang-50,0,0,8,8
submission,Lang-53,0,0,4,4
submission,Lang-60,0,0,6,6
submission,Lang-7,0,0,198,198
submission,Math-18,0,0,14,14
submission,Math-24,0,0,21,21
submission,Math-35,0,0,1,1
submission,Math-4,0,0,124,124
submission,Math-40,0,0,13,13
submission,Math-44,0,0,1,1
submission,Math-46,0,0,10,10
submission,Math-60,0,0,1,1
submission,Math-72,0,0,14,14
submission,Math-78,0,0,22,22
submission,Math-87,0,0,2,2
submission,Math-98,0,0,10,10
submission,Time-12,0,0,2,2
submission,Time-14,0,0,1,1
submission,Time-16,0,0,4,4
submission,Time-17,0,0,1,1
submission,Time-18,0,0,41,41
submission,Time-19,0,0,2,2
submission,Time-4,0,0,18,18
